username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
TucoYnr,RIJF MAMI❤️🌹 GEO 🌍 MUSHKA🎃,Home,5688,15402,178948,2011-08-14 20:04:08,2020-05-04 13:10:22,181,"My people, #veganlife doesn’t mean you can’t still enjoy... Presenting MUSHROOM EGUSI! 🍛👏🏾🔥 https://t.co/kGua4b8Sqj","[{'text': 'veganlife', 'indices': [27, 37]}]"
Headlong42,"Nerd with a mild case of education. Courtesy should not be underrated so, please, be kind. Trolls get blocked.",Earth,123,164,13020,2018-09-07 13:41:34,2020-05-04 13:10:17,0,@JuddLegum Also an issue for the abused animals... #GoVegan,"[{'text': 'GoVegan', 'indices': [51, 59]}]"
AdamCaplin,"family, friends, theatre, film, books (well Kindle), tv, travel and COYS! I voted Remain NOT Remoan!! and ❤️ https://t.co/TJSytqOyU4",,434,362,28788,2012-08-13 10:13:03,2020-05-04 13:10:14,2,"Make this ‘heavenly’ soup.Roast butternut squash,sweet potato,onions,carrots, red chilli &amp; garlic with a drizzle of oil &amp; a generous sprinkle of Spice Way’s Heavenly Herbs Blend https://t.co/XosEd94YSW  AVAILABLE ONLINE @ https://t.co/Yy2f6KKSG1 #vegan #soup #tasty https://t.co/4e7SHu9Pnv",[]
SpiceWayUk,"Infuse your life with health - Fr'cinni Fruit & Fr'cinni Health. Herbs & spices to astound you, @theopahitis #SBS winner 9/6/2014 insta spicewayuk","London, UK",2303,1627,5571,2010-08-17 13:29:25,2020-05-04 13:10:06,2,"Make this ‘heavenly’ soup.Roast butternut squash,sweet potato,onions,carrots, red chilli &amp; garlic with a drizzle of oil &amp; a generous sprinkle of Spice Way’s Heavenly Herbs Blend https://t.co/XosEd94YSW  AVAILABLE ONLINE @ https://t.co/Yy2f6KKSG1 #vegan #soup #tasty https://t.co/4e7SHu9Pnv","[{'text': 'vegan', 'indices': [254, 260]}, {'text': 'soup', 'indices': [261, 266]}, {'text': 'tasty', 'indices': [267, 273]}]"
eileenthecoast,🇮🇪,"Dublin, Ireland",1245,1068,85458,2017-02-05 17:07:40,2020-05-04 13:10:06,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
meatreducer,#MeatReduction Campaign Manager @movetheworldus︱Food justice activist︱He/Him 🧡🐮🐷🐔,"New York, NY",356,124,625,2019-08-22 15:11:30,2020-05-04 13:09:53,0,"""The global crisis, in other words, is turning into a big opportunity for the #plantbased protein sector."" #MeatReduction https://t.co/oZFzu4wN91","[{'text': 'plantbased', 'indices': [78, 89]}, {'text': 'MeatReduction', 'indices': [107, 121]}]"
ILoveMioritics,,,2153,200,5135,2012-11-16 13:09:50,2020-05-04 13:09:52,99,#Competition Just FOLLOW US &amp; RETWEET to enter! #win this luxury Bardot haircare set worth over £30! #vegan #haircare #giveaway ⁦@MMCL_LDN⁩ #stayinandwashyourhair 💁🏼‍♀️💁🏾 https://t.co/KRlCURkoYX,"[{'text': 'Competition', 'indices': [16, 28]}, {'text': 'win', 'indices': [68, 72]}, {'text': 'vegan', 'indices': [121, 127]}, {'text': 'haircare', 'indices': [128, 137]}]"
Essential_Mark,"BDM South East for Essential Cuisine, (Winsford) UK 🇬🇧 made Stocks Gravy & Jus. Hastings dweller, sea kayaker, occasional ale drinker n music mixer",Hastings,1020,545,3157,2012-05-11 15:54:33,2020-05-04 13:09:47,1,Inspired by my favourite #streetfood vendor @Manjitskitchen #vegan #MumbaiBurger with spiced Indian rice using @essentialcuisin #indian seasoning @vegsoc @TheVeganSociety @SAfoodforlife @EDUcateringmag @PSCMagazine #schoollunchs #lockdown @JeanetteOrrey https://t.co/Ae8xP8iOGq,"[{'text': 'streetfood', 'indices': [46, 57]}, {'text': 'vegan', 'indices': [81, 87]}, {'text': 'MumbaiBurger', 'indices': [88, 101]}]"
Elle_Mc_C,,"Dublin City, Ireland",1183,61,2713,2018-05-09 10:23:57,2020-05-04 13:09:39,99,#Competition Just FOLLOW US &amp; RETWEET to enter! #win this luxury Bardot haircare set worth over £30! #vegan #haircare #giveaway ⁦@MMCL_LDN⁩ #stayinandwashyourhair 💁🏼‍♀️💁🏾 https://t.co/KRlCURkoYX,"[{'text': 'Competition', 'indices': [16, 28]}, {'text': 'win', 'indices': [68, 72]}, {'text': 'vegan', 'indices': [121, 127]}, {'text': 'haircare', 'indices': [128, 137]}]"
lunararcher,"VEGAN;Always & Forever🐽.
British Red Hatter👑 Love eccentric dress👠my 3 rescue dogs🐾and our Narrowboat🌙Retired SRN Oncology💉GreenParty🌱No DMs please😎","Arena, London, SE25. ",2843,1860,42434,2009-09-25 11:10:15,2020-05-04 13:09:33,1,"Whatever path you follow...
If none, maybe light a candle for the animals?
Lokah Samastah Sukhino Bhavantu. (May all beings be happy &amp; free, &amp; may the thoughts, words &amp; actions of my own life contribute in some way to that happiness &amp; freedom for all)
#vegan😊🙏 https://t.co/hbBWjTchbe","[{'text': 'vegan', 'indices': [268, 274]}]"
EventsVeg,"#Vegan #events! For your #event to be posted here, your tweet must include the date, city, and state. if outside the US, please include the country.",Everywhere,3504,1465,15070,2013-09-21 00:14:21,2020-05-04 13:09:32,0,"@MeatlessMonday @EventsVeg @billieeilish @Sia @ArianaGrande Inspiring and motivating. As I am also converted to #vegan since last more than 2 Years, I can share this gives a immense benefit of health, no anxiety, no fear, straightforwardness, kindness, more caring after all adding value to humanity. The experience is awesome.","[{'text': 'vegan', 'indices': [133, 139]}]"
Anitro6,,,1553,868,30335,2018-10-25 17:51:45,2020-05-04 13:09:15,21,How adorable really I can’t stop watching this video. See Melisa the rescue pig  @FSantuarioGaia  Snoring 😴 while she’s sleeping ☺️. This is the only way we should treat all the pigs let them living free without any fear of someone hurting them  #vegan https://t.co/5AASnOYIVZ,[]
1234pkp,,,1310,169,30145,2015-04-29 11:05:06,2020-05-04 13:09:01,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
Hinduism____,"#Hindu #Vegan #Kind #loyal
#Love❤️Reserve for animals n will be for better half😘💕
Follows Raghukul reet-pran jaye par vachan Na jaye
Call/Text +1(551)313 8804",In Quarantine 😷,87,83,123,2015-08-02 11:00:03,2020-05-04 13:08:59,0,"#Vegan 
#animalslover
#morningmotivation 
Love and cuteness overloaded ❤️💕😍
Rate this adorable love❤️❤️ https://t.co/9e90HH6MCk","[{'text': 'Vegan', 'indices': [0, 6]}, {'text': 'animalslover', 'indices': [8, 21]}, {'text': 'morningmotivation', 'indices': [22, 40]}]"
csapickers,19 years experience in #retail #sales. We offer various items through our #Etsy and #Ebay stores. We offer several different  #graphic #tshirts. Check us out!,,11033,16285,393226,2014-10-08 17:07:28,2020-05-04 13:08:53,13,"Raising a 𝓑𝓪𝓫𝔂 𝓥𝓮𝓰𝓪𝓷.  Here's a cute 𝓣-𝓢𝓱𝓲𝓻𝓽 for your little 𝓥𝓮𝓰𝓰𝓲𝓮 𝓛𝓸𝓿𝓮𝓻.  30% off w/code FAMILYFUNZAZ!  End Tonite!
https://t.co/FTbBTAZ298 @zazzle #babyvegan #veggielover #veganbaby #vegan #vegans #babyvegans #veganbabies",[]
nicolemdoria,Christian 🍐 Milspouse 🍐 Mom of 4 🍐 Blogger 🍐 Self-Love Advocate 🍐 Personal Trainer 🍐 Integrative & Functional Nutritionist 🍐 Ultramarathoner 🍐#teamnuun,"Camp Pendleton, CA, USA",642,645,10321,2011-01-10 12:48:45,2020-05-04 13:08:44,0,"Book Review: ""How Not To Die"" #nutrition #nutritionbook #wholefood #plantbased https://t.co/cNVoFOAl8J https://t.co/ubV7ZjO7mw","[{'text': 'nutrition', 'indices': [30, 40]}, {'text': 'nutritionbook', 'indices': [41, 55]}, {'text': 'wholefood', 'indices': [56, 66]}, {'text': 'plantbased', 'indices': [67, 78]}]"
NineSoul999,,,283,264,4437,2013-08-22 19:02:17,2020-05-04 13:08:40,95,"She wanted to collect likes and tried
to eat a live octopus, but after being 
attacked she started to whimper 
playing the part of the victim.
#DontEatFriends #Kill4Fun 
#AnimalRigths #Kill4Fun
#Vegan #Unkn0wn https://t.co/ZSImsmGspB",[]
kyrioutsider,I love all my followers ❤,Cyprus,206,74,5623,2016-12-11 11:32:18,2020-05-04 13:08:35,0,"Hope you like it ❤ 
.
. #lovinglife #happiness #love #kindness #positivity #optimism #grateful #havingfun #animalover #vegan #training #workout #investing #funnyvideos #memes #entertaining #entertainingvideos #trend #trending #funnycontent #memes #meme #bestmemes #topmemes https://t.co/3dX6L8dIuF","[{'text': 'lovinglife', 'indices': [24, 35]}, {'text': 'happiness', 'indices': [36, 46]}, {'text': 'love', 'indices': [47, 52]}, {'text': 'kindness', 'indices': [53, 62]}, {'text': 'positivity', 'indices': [63, 74]}, {'text': 'optimism', 'indices': [75, 84]}, {'text': 'grateful', 'indices': [85, 94]}, {'text': 'havingfun', 'indices': [95, 105]}, {'text': 'animalover', 'indices': [106, 117]}, {'text': 'vegan', 'indices': [118, 124]}, {'text': 'training', 'indices': [125, 134]}, {'text': 'workout', 'indices': [135, 143]}, {'text': 'investing', 'indices': [144, 154]}, {'text': 'funnyvideos', 'indices': [155, 167]}, {'text': 'memes', 'indices': [168, 174]}, {'text': 'entertaining', 'indices': [175, 188]}, {'text': 'entertainingvideos', 'indices': [189, 208]}, {'text': 'trend', 'indices': [209, 215]}, {'text': 'trending', 'indices': [216, 225]}, {'text': 'funnycontent', 'indices': [226, 239]}, {'text': 'memes', 'indices': [240, 246]}, {'text': 'meme', 'indices': [247, 252]}, {'text': 'bestmemes', 'indices': [253, 263]}, {'text': 'topmemes', 'indices': [264, 273]}]"
dickymint18,,,4983,686,91110,2010-03-26 21:20:11,2020-05-04 13:08:32,99,#Competition Just FOLLOW US &amp; RETWEET to enter! #win this luxury Bardot haircare set worth over £30! #vegan #haircare #giveaway ⁦@MMCL_LDN⁩ #stayinandwashyourhair 💁🏼‍♀️💁🏾 https://t.co/KRlCURkoYX,"[{'text': 'Competition', 'indices': [16, 28]}, {'text': 'win', 'indices': [68, 72]}, {'text': 'vegan', 'indices': [121, 127]}, {'text': 'haircare', 'indices': [128, 137]}]"
NineSoul999,,,283,264,4437,2013-08-22 19:02:17,2020-05-04 13:08:19,218,"""If you eat animals...you are intentionally causing pain and suffering, and polluting your soul with the blood of innocent beings"" - Gary Yourofsky
 
Stop Supporting Animal Cruelty
GoVegan🌱🌎
 
#AnimalRights #GoVegan #EndSpeciesism #Farms #Pets #Vegan https://t.co/AAeHfOv7GB",[]
cdngirl2015,"Married 17 yrs,have a son,2 stepsons, 2 rescue cats. Freelance pagan. Crippled. Horror fan. PORN=block. DM with permission. See 'Jew bashing'=report #HorrorFam","Toronto, Ontario",1092,1258,55043,2015-07-03 02:27:15,2020-05-04 13:08:19,11,"The best we do is love unconditionally💖
It's the love we feel for #animals🐐💕
And why their joy gives us a #FridayFeeling too!🤗
Don't let your diet undermine your #love🙏

Go #Vegan🐾💕

@RickyGervais @Protect_Wldlife @Ivy_MiddletonUK @PeterEgan6 @RobRobbEdwards @Animal_Watch https://t.co/0OGyXvZU1k","[{'text': 'animals', 'indices': [87, 95]}]"
triciagarcia31,"Amateur pianist, fan of: Satie, Bach, Chopin, Beethoven, Brahms, Ravel, Debussy, Faure, Bizet, Enya, Journey, U2, Berlin, Ellington, Evans. Mech. Engineer-SRNS","South Carolina, USA",89,347,42502,2018-02-22 03:33:24,2020-05-04 13:08:12,1,Welcome to #NationalSaladMonth! What better way to start it off than with a refreshing new recipe to try! #vegan #salad https://t.co/iZLOuO7Cyn,"[{'text': 'NationalSaladMonth', 'indices': [31, 50]}, {'text': 'vegan', 'indices': [126, 132]}, {'text': 'salad', 'indices': [133, 139]}]"
KyleKirrin,"Writer, slusher, @SFWA. He/they.","Colorado, USA",193,574,4038,2016-07-07 18:52:32,2020-05-04 13:08:10,3,"I’m in this, with the third short story I ever wrote, reprinted for the third time!

#vegan #scifi #Literature #amreadingscifi https://t.co/FsnDApCgWV","[{'text': 'vegan', 'indices': [104, 110]}, {'text': 'scifi', 'indices': [111, 117]}, {'text': 'Literature', 'indices': [118, 129]}]"
pebblesandtoast,"Foodie, vegan/plant-based food blogger, mom, and camping enthusiast.",,35,6,12,2020-04-26 16:19:42,2020-05-04 13:08:09,0,"Chickpea Korma - Garbanzo beans drenched in a flavorful tomato and cashew cream sauce.  Delicious served over rice or dipped with naan — Enjoy!!  @pebblesandtoast 🌱

#vegan #plantbased #oilfree  #healthy #wfpb  #eattherainbow 
#pebblesandtoast
https://t.co/CV4fhZf1rM https://t.co/mpjJWve98M","[{'text': 'vegan', 'indices': [166, 172]}, {'text': 'plantbased', 'indices': [173, 184]}, {'text': 'oilfree', 'indices': [185, 193]}, {'text': 'healthy', 'indices': [195, 203]}, {'text': 'wfpb', 'indices': [204, 209]}, {'text': 'eattherainbow', 'indices': [211, 225]}, {'text': 'pebblesandtoast', 'indices': [227, 243]}]"
DavohtheKing,"News Update I.E Football, Soccer, Boxing, Baseball, Basketball, Tennis, Gold, F1, Kayaks, Race, Music, FreeTips E.T.C .",,3734,301,5444,2012-10-20 18:56:55,2020-05-04 13:08:08,181,"My people, #veganlife doesn’t mean you can’t still enjoy... Presenting MUSHROOM EGUSI! 🍛👏🏾🔥 https://t.co/kGua4b8Sqj","[{'text': 'veganlife', 'indices': [27, 37]}]"
Animal_Posting,"テレビや新聞では報道されない、隠された動物虐待について知ってますか？
お肉は大豆肉で、牛乳は豆乳で代用でき、今まで通り美味しいご飯が食べれて、栄養的に何も問題ないどころか、健康になれるって知ってた？
#環境汚染 #コロナ #コロナウィルス #コロナウイルス　#自粛 #外出自粛 #自宅待機 #コロナうつ #コロナ鬱",Japan,1404,926,1375,2019-05-31 17:40:42,2020-05-04 13:08:02,0,"I think whether it is important to pursue a more love-based choice and a #peaceful society, not whether #God allows meat to be eaten.
Because eating meat in modern times is just a greed.
#AnimalRights is a #spirit of strong #altruism.
#GoVegan #HolySpirit #Catholic #Veganism","[{'text': 'peaceful', 'indices': [73, 82]}, {'text': 'God', 'indices': [104, 108]}, {'text': 'AnimalRights', 'indices': [187, 200]}, {'text': 'spirit', 'indices': [206, 213]}, {'text': 'altruism', 'indices': [224, 233]}, {'text': 'GoVegan', 'indices': [235, 243]}, {'text': 'HolySpirit', 'indices': [244, 255]}, {'text': 'Catholic', 'indices': [256, 265]}, {'text': 'Veganism', 'indices': [266, 275]}]"
John21_17,"This Beautiful,Breathtaking Rose is the Passion behind my words,my thoughts and me,my reason to breathe,reason to be...
Born February 15th",,939,1556,47756,2019-01-18 03:50:12,2020-05-04 13:07:49,1069,"Please be kind and compassionate with all innocent animals like this man, who always gives hope to this cruel humanity.What humanity does to animals is worse than horror movies, they are vulnerable #EndSpeciesism Choose #compassion #vegan  #animalrights  https://t.co/vj6wgAK2MP",[]
HowethLewis,"Philosophy & Veganism.

YouTube content creator.  Dm for debates, discussions etc.","North East, England",112,367,1219,2018-02-26 10:35:07,2020-05-04 13:07:46,0,"CORONA TAX | Should We Tax Animal Products w/ @CosmicSkeptic and Humane Hancock

#Vegan #COVIDー19
https://t.co/ar5Sd1K0Cy","[{'text': 'Vegan', 'indices': [81, 87]}, {'text': 'COVIDー19', 'indices': [88, 97]}]"
6854afs,Animals deserve a life as well not treated as they are now just a commodity just for profit and abuse. This abuse needs to stop before we destroy all beauty,,3445,4199,122850,2015-04-01 18:37:41,2020-05-04 13:07:34,11,"The best we do is love unconditionally💖
It's the love we feel for #animals🐐💕
And why their joy gives us a #FridayFeeling too!🤗
Don't let your diet undermine your #love🙏

Go #Vegan🐾💕

@RickyGervais @Protect_Wldlife @Ivy_MiddletonUK @PeterEgan6 @RobRobbEdwards @Animal_Watch https://t.co/0OGyXvZU1k","[{'text': 'animals', 'indices': [87, 95]}]"
rydertracey,,,4958,3255,750618,2009-08-01 11:17:29,2020-05-04 13:07:25,99,#Competition Just FOLLOW US &amp; RETWEET to enter! #win this luxury Bardot haircare set worth over £30! #vegan #haircare #giveaway ⁦@MMCL_LDN⁩ #stayinandwashyourhair 💁🏼‍♀️💁🏾 https://t.co/KRlCURkoYX,"[{'text': 'Competition', 'indices': [16, 28]}, {'text': 'win', 'indices': [68, 72]}, {'text': 'vegan', 'indices': [121, 127]}, {'text': 'haircare', 'indices': [128, 137]}]"
Iam_Joanayo,"A lil bit of a funny person| Extrovert|  nature freak |Amateur photographer| music lover|Open a #Vbanking acct today 
https://t.co/kZQabMUzqW",Nigeria,396,230,1040,2020-03-28 14:52:41,2020-05-04 13:07:14,181,"My people, #veganlife doesn’t mean you can’t still enjoy... Presenting MUSHROOM EGUSI! 🍛👏🏾🔥 https://t.co/kGua4b8Sqj","[{'text': 'veganlife', 'indices': [27, 37]}]"
waroflens,"Bird photography, animal photography / video it is for nature lovers and birders who love birding, wildlife photographers, bird watchers, animal lovers.",India,436,710,22394,2019-10-23 05:20:35,2020-05-04 13:07:07,1,"Hornyboii with some grass 🥬

#wildlifephotography #NaturePhotography #photography #animals #herbivore #SouthAfrica #wildearth #Vegan https://t.co/i9nhl7zO0Z","[{'text': 'wildlifephotography', 'indices': [44, 64]}, {'text': 'NaturePhotography', 'indices': [65, 83]}, {'text': 'photography', 'indices': [84, 96]}, {'text': 'animals', 'indices': [97, 105]}, {'text': 'herbivore', 'indices': [106, 116]}, {'text': 'SouthAfrica', 'indices': [117, 129]}]"
getecoprints,"An app designed for a community of people who want to live with the 🌍 in mind, body and 💚","Toronto,ON",39,31,100,2020-01-07 14:53:39,2020-05-04 13:07:05,0,"This #DIY will give you impeccably soft lips! If you don't have coconut sugar, you can always swap for brown #sugar or regular white. The best part? It's all natural and #vegan friendly! 

Is there a DIY you want us to cover? Let us know! https://t.co/Qo5sTbaRFF","[{'text': 'DIY', 'indices': [5, 9]}, {'text': 'sugar', 'indices': [109, 115]}, {'text': 'vegan', 'indices': [170, 176]}]"
jenvonabb,"📍Wakefield
👗Plus size 
🧬 Sufferer of mental & chronic illnesses. 
🐶 Dog mama
📖 Reviews","West Yorkshire, England",1821,1386,7156,2011-10-08 23:00:26,2020-05-04 13:06:56,2,"If you’re a tad bored at home at the moment and like to watch beauty videos...check out my channel for cruelty free beauty, skincare &amp; makeup #CrueltyFree #beauty #bloggerswanted 

Could you RT this if you see it 🌿
  🥺
👉🏻👈🏻

https://t.co/U46tTsgHGs https://t.co/XsnlOPprzI",[]
BissousKiss,"""The idea that some lives matter less, is the root of all that is wrong with the world."" -Dr. Paul Farmer.",,191,193,24998,2013-11-25 06:33:39,2020-05-04 13:06:53,8,"How would you react if #oliviacolman delivered your #vegan meal?
https://t.co/7b1vVkk3ML","[{'text': 'oliviacolman', 'indices': [41, 54]}, {'text': 'vegan', 'indices': [70, 76]}]"
davidsting414,#AnimalRights #FriendsNotFood #govegan 🐮🐽🦊🐔 🐷. Animals are the most important thing in my life .,In my own world  ,232,3464,23063,2013-09-06 12:51:38,2020-05-04 13:06:31,21,How adorable really I can’t stop watching this video. See Melisa the rescue pig  @FSantuarioGaia  Snoring 😴 while she’s sleeping ☺️. This is the only way we should treat all the pigs let them living free without any fear of someone hurting them  #vegan https://t.co/5AASnOYIVZ,[]
__vanessa__91,Lovely girl who loves crypto,Portugal,3096,445,10623,2018-04-29 14:49:30,2020-05-04 13:06:15,12,"First 3 words you see to make your dinner with tonight.

What words did you get?

#Vegan #food #recipes https://t.co/RLqCqj55Iv","[{'text': 'Vegan', 'indices': [103, 109]}, {'text': 'food', 'indices': [110, 115]}, {'text': 'recipes', 'indices': [116, 124]}]"
ohsOOsho,,,308,126,8272,2009-12-14 00:03:10,2020-05-04 13:06:13,2,"The rise of #vegan #FoodTech still has gender issues

I disagree with a number of points in this article, but definitely worth a read! https://t.co/GLTW3T1x1Q","[{'text': 'vegan', 'indices': [27, 33]}, {'text': 'FoodTech', 'indices': [34, 43]}]"
BissousKiss,"""The idea that some lives matter less, is the root of all that is wrong with the world."" -Dr. Paul Farmer.",,191,193,24998,2013-11-25 06:33:39,2020-05-04 13:06:10,1069,"Please be kind and compassionate with all innocent animals like this man, who always gives hope to this cruel humanity.What humanity does to animals is worse than horror movies, they are vulnerable #EndSpeciesism Choose #compassion #vegan  #animalrights  https://t.co/vj6wgAK2MP",[]
__vanessa__91,Lovely girl who loves crypto,Portugal,3096,445,10623,2018-04-29 14:49:30,2020-05-04 13:05:43,14,"Heard the good people @TRJFProject had intercepted a haul of vegan burger patties that were going to waste with the #COVIDー19 lockdown. Booked a slot, drove in.  I definitely wasn't expecting to drive away with 200 of the things! 😆👍 #vegan #zerowaste #veganhaul #bargainhunting https://t.co/zhbdGGPXRM",[]
Can_Vital_hotel,"Ideally located in the heart of the Alt Penedès, close to Barcelona. Offering corporate and private packages"," Sant Joan de Mediona, Spain",2,7,123,2020-01-17 08:47:51,2020-05-04 13:05:39,0,"Plant-based diets have been linked to a number of health benefits, including reducing your risk of heart disease, certain cancers, obesity,

 #plantbased  #healthyeating #healthylifestyle

#vegan #veganfood #vegetarian #veganfoodshare #plantpower #organic #healthyfood #spain #bcn https://t.co/0mkcqxo4dm","[{'text': 'plantbased', 'indices': [142, 153]}, {'text': 'healthyeating', 'indices': [155, 169]}, {'text': 'healthylifestyle', 'indices': [170, 187]}, {'text': 'vegan', 'indices': [189, 195]}, {'text': 'veganfood', 'indices': [196, 206]}, {'text': 'vegetarian', 'indices': [207, 218]}, {'text': 'veganfoodshare', 'indices': [219, 234]}, {'text': 'plantpower', 'indices': [235, 246]}, {'text': 'organic', 'indices': [247, 255]}, {'text': 'healthyfood', 'indices': [256, 268]}, {'text': 'spain', 'indices': [269, 275]}, {'text': 'bcn', 'indices': [276, 280]}]"
